Species,Display Name,Museum Number,Study ID,Clade,Locality,Locality Notes,Lat,Long,Year collected,Sex (phenotype),Sex (genetic),Coverage,Depth,Fraglen,GC,Read dosage,5’ C>T,3’ G>A,Heterozygosity,Coverage (Mt),Depth (Mt),Fraglen (Mt),GC (Mt)
Turdus_poliocephalus_erythropleurus,T. p. erythropleurus  (Christmas),AMNH768697,Tpol00768697,D,"Christmas I., Australia",,-10.49169,105.635928,1961,F,F,0.806379,4.9267,106,47.49,0.422716612879856,0.0372902,0.0386514,0.0240693,0.99498,311306,174,47.99
Turdus_poliocephalus_fumidus,T. p. fumidus  (w Java),NRM569331,Tpol00569331,E,"w Java, Indonesia",,-6.787817,106.981947,1916,,F,0.883755,13.2032,136,37.44,0.499220924080766,0.0368934,0.0365375,0.0175188,0.996534,175227,146,47.99
Turdus_poliocephalus_hades,"T. p. hades  (Gau, Fiji)",AMNH223922,Tpol00223922,L,"Gau I., Fiji",,-18.010862,179.305589,1924,M,M,0.881752,11.2505,115,38.94,0.921368143666085,0.0523148,0.0529263,0.0101441,0.99498,311943,176,47.99
Turdus_poliocephalus_heinrothi,"T. p. heinrothi  (Mussau, Bismarcks)",AMNH575398,Tpol00575398,H,"St. Matthias (Mussau I.), Papua New Guinea",,-1.439305,149.618295,1923,M,M,0.883329,15.2511,124,37.94,0.941150573638828,0.0410834,0.0419069,0.0107247,0.99498,259152,173,46.98
Turdus_poliocephalus_hygroscopus,T. p. celebensis AMNH 12571  (sw Sulawesi),AMNH12571,Tpol00012571,D,"s Sulawesi, Indonesia",Actually T. p. celebensis; museum misidentified as T. p. hygroscopus. Coordinates given for T. p. celebensis,-5.386435,119.896534,1998,M,M,0.907721,10.7056,151,36.93,0.987147403429459,0.0116115,0.0114861,0.0269737,0.996534,989168,146,47.99
Turdus_poliocephalus_indrapurae,T. p. indrapurae  (sc Sumatra),AMNH575637,Tpol00575637,E,"sc Sumatra, Indonesia",,-1.695769,101.267078,1914,F,F,0.883805,15.7899,121,37.94,0.490939793664503,0.0512668,0.0511347,0.00774445,0.995637,198344,142,47.49
Turdus_poliocephalus_javanicus,T. p. javanicus  (c Java),AMNH575611,Tpol00575611,E,"c Java, Indonesia",,-6.894839,108.405076,1928,M,M,0.881294,12.0006,105,38.94,0.933813996192945,0.042084,0.041788,0.0264114,0.995518,192922,137,48.49
Turdus_poliocephalus_katanglad,"T. p. katanglad  (c Mindanao, Philippines)",ZMUC138022,Tpol00138022,C,"c Mindanao, Philippines",,8.11679,124.923467,1951,F,F,0.887253,14.1645,127,38.44,0.489150895677598,0.0338952,0.0342429,0.0928394,0.995637,379.12,184,47.49
Turdus_poliocephalus_kelleri,"T. p. kelleri  (se Mindanao, Philippines)",ZMUC141795,Tpol00141795,C,"se Mindanao, Philippines",,6.987225,125.270904,1904,M,M,0.879828,9.85881,104,37.44,0.937222971585568,0.0608158,0.0615024,0.079712,0.995637,254667,156,47.49
Turdus_poliocephalus_kulambangrae,"T. p. kulambangrae  (Kolombangara, Solomons)",AMNH215,Tpol00000215,J,"Kolombangara, Solomon Islands",,-7.989068,157.072884,2004,F,F,0.908544,11.9836,150,36.93,0.502914095679363,0.0137683,0.0115583,0.0254773,0.993187,989212,146,48.49
Turdus_poliocephalus_layardi,"T. p. layardi  (Ovalau, Fiji)",AMNH252626,Tpol00252626,L,"Ovalau, Fiji",,-17.681267,178.788149,1924,M,M,0.87874,8.88398,111,38.44,0.942413126952299,0.0472472,0.0468589,0.0180431,0.995458,176461,139,47.99
Turdus_poliocephalus_layardi,"T. p. layardi  (Yasawa, Fiji)",AMNH252627,Tpol00252627,L,"Yasawa, Fiji",,-16.775768,177.523378,1925,M,M,0.88255,14.7681,114,38.44,0.945541018073764,0.0469892,0.0469265,0.0160209,0.994741,248102,156,46.98
Turdus_poliocephalus_layardi,"T. p. layardi  (Koro, Fiji)",AMNH252636,Tpol00252636,L,"Koro, Fiji",,-17.311353,179.403598,1924,M,M,0.883164,14.0021,120,38.44,0.940256551010345,0.0496596,0.0499574,0.0165543,0.994801,197397,143,48.99
Turdus_poliocephalus_layardi,"T. p. layardi  (Viti Levu, Fiji)",AMNH252655,Tpol00252655,L,"Viti Levu, Fiji",,-17.886569,177.981405,1925,M,M,0.881842,12041,112,38.44,0.949797464955603,0.042613,0.04289,0.0253808,0.994801,330.83,183,47.49
Turdus_poliocephalus_loeseri,T. p. loeseri  (n Sumatra),YPM41020,Tpol00041020,E,"n Sumatra, Indonesia",,3.796268,97.21837,1939,F,F,0.880287,10.8026,111,37.94,0.497573025755438,0.0346042,0.0341777,0.00929855,0.99486,138587,128,47.99
Turdus_poliocephalus_malekulae,"T. p. malekulae  (Malekula, Vanuatu)",AMNH21367,Tpol00021367,K,"Malekula, Vanuatu",,-16.288385,167.509044,2014,M,M,0.905039,8.63215,150,36.93,0.994321742787305,0.0129953,0.0107996,0.032145,0.993725,989.67,147,47.99
Turdus_poliocephalus_malekulae,"T. p. malekulae  (Ambrym, Vanuatu)",AMNH214424,Tpol00214424,K,"Ambrym, Vanuatu",,-16.25744,168.131866,1926,M,M,0.882326,11.9306,118,38.44,0.930183772107214,0.044785,0.0451977,0.033567,0.996115,232473,155,47.49
Turdus_poliocephalus_malekulae,"T. p. malekulae  (Pentecost, Vanuatu)",AMNH216313,Tpol00216313,K,"Pentecost, Vanuatu",,-15.752068,168.190262,1927,M,M,0.883503,12576,128,38.44,0.940254456045134,0.0396677,0.0399072,0.0334387,0.99498,326.3,185,47.49
Turdus_poliocephalus_malindangensis,"T. p. malindangensis  (nw Mindanao, Philippines)",ZMUC141794,Tpol00141794,C,"nw Mindanao, Philippines",,8.216944,123.636704,1906,F,F,0.885899,15.6086,118,38.94,0.475403713314287,0.0539253,0.054041,0.063748,0.996534,347334,187,47.49
Turdus_poliocephalus_mareensis,"T. p. mareensis  (Maré, Loyalty Is.)",AMNH575490,Tpol00575490,K,"Mare I., New Caledonia",,-21.522939,167.979868,1882,F?,F,0.880278,10.3518,116,37.94,0.477486819724512,0.0660303,0.066182,0.0289726,0.995458,116256,129,46.98
Turdus_poliocephalus_mayonensis,"T. p. thomassoni ZMUC 02632  (n Luzon, Philippines)",ZMUC02632,Tpol00002632,B,"s Luzon, Philippines",This is likely a misidentified T. p. thomassoni from. Coordinates given are for probable collecting locality in n Luzon.,16.58333,120.88333,,,M,0.909596,11.6279,151,37.44,0.988712557355669,0.0110474,0.0107937,0.0854403,0.991992,12.2528,144,48.99
Turdus_poliocephalus_mindorensis,"T. p. mindorensis  (Mindoro, Philippines)",AMNH575605,Tpol00575605,A,"Mindoro, Philippines",,12.912577,121.128497,1895,M,M,0.808049,2.78023,123,36.43,0.978586398810841,0.0469965,0.0465516,0.071352,0.99498,336.39,179,46.98
Turdus_poliocephalus_nigrorum,"T. p. nigrorum  (Negros, Philippines)",ZMUC138023,Tpol00138023,C,"Negros, Philippines",,10.111366,123.028002,1953,M,M,0.883817,15.4248,115,38.44,0.96899634724889,0.0347422,0.0345576,0.0412839,0.995578,196185,139,46.98
Turdus_poliocephalus_papuensis,"T. p. papuensis  (Karkar I., ne New Guinea)",AMNH19847,Tpol00019847,G,"Karkar I., Papua New Guinea",,-4.64928,145.980417,2012,M,M,0.910873,14.5357,150,37.94,0.990436139589134,0.0115539,0.0111475,0.0365712,0.994024,992039,146,47.99
Turdus_poliocephalus_papuensis,"T. p. papuensis  (Central Range, e New Guinea)",ZMUC150143,Tpol00150143,G,e mainland New Guinea,,-5.780201,145.029882,2015,F,F,0.909898,11.7294,148,37.94,0.507639802834698,0.0125786,0.0110842,0.0548384,0.993665,991.92,146,47.99
Turdus_poliocephalus_papuensis,"T. p. papuensis  (Huon Peninsula, e New Guinea)",ZMUC192303,Tpol00192303,G,"Huon Peninsula, e mainland New Guinea",,-6.083258,146.912508,2016,unknown,F,0.908328,11.1175,150,37.94,0.505720981727827,0.0133674,0.0112359,0.0538273,0.997789,96.7924,147,48.99
Turdus_poliocephalus_placens,"T. p. placens  (Vanua Lava, Vanuatu)",AMNH21538,Tpol00021538,L,"Vanua Lava, Vanuatu",,-13.828279,167.467746,2014,M,M,0.906982,10.1715,149,36.93,0.986896261940936,0.0118694,0.011159,0.0319547,0.99498,992299,147,47.99
Turdus_poliocephalus_placens,"T. p. placens  (Ureparapara, Vanuatu)",AMNH216295,Tpol00216295,K,"Ureparapara, Vanuatu",,-13.535184,167.321966,1926,M,M,0.884247,15.3354,126,38.44,0.936685358100136,0.0429002,0.0433153,0.0291016,0.99498,281496,175,46.98
Turdus_poliocephalus_poliocephalus,T. p. poliocephalus  (Norfolk),AMNH454235,Tpol00454235,L,"Norfolk I., Australia",,-29.035087,167.954009,1912,F,F,0.882049,12.6576,118,38.44,0.497373082654543,0.0346529,0.0343112,0.00841728,0.995458,206668,149,47.99
Turdus_poliocephalus_pritzbueri,"T. p. pritzbueri  (Tanna, Vanuatu)",AMNH336817,Tpol00336817,L,"Tanna I., Vanuatu",,-19.512207,169.343411,1936,M,M,0.882425,10.1769,115,39.95,0.907305298307722,0.0445145,0.0447612,0.0252904,0.994801,350995,188,47.49
Turdus_poliocephalus_pritzbueri,"T. p. pritzbueri  (Lifou, Loyalty Is.)",RMNH146375,Tpol00146375,L,"Lifou I., New Caledonia",,-20.953572,167.196409,1878,F,F,0.874343,6.11708,118,37.94,0.48480746739998,0.0568325,0.0573113,0.0254376,0.992888,98.6915,124,47.49
Turdus_poliocephalus_rennellianus,"T. p. rennellianus  (Rennell, Solomons)",AMNH6594,Tpol00006594,K,"Rennell, Solomon Islands",,-11.637702,160.26053,1995,unknown,M,0.904723,8.4297,151,37.44,0.986375141744844,0.0098208,0.0098223,0.0270151,0.995637,990363,147,48.49
Turdus_poliocephalus_ruficeps,"T. p. ruficeps  (Kadavu, Fiji)",AMNH252598,Tpol00252598,L,"Kadavu I., Fiji",,-19.020537,178.193117,1925,M,M,0.881005,10985,110,38.94,0.93632947694145,0.0446343,0.044424,0.017395,0.992649,224388,151,47.49
Turdus_poliocephalus_samoensis,"T. p. samoensis  (Savaiʻi, Samoa)",AMNH206154,Tpol00206154,L,"Savaii, Samoa",,-13.622408,-172.422425,1924,M,M,0.880253,11.0528,110,38.94,0.925390414907493,0.0496538,0.0504155,0.0161234,0.995697,282.61,170,48.49
Turdus_poliocephalus_samoensis,"T. p. samoensis  (Upolu, Samoa)",AMNH206897,Tpol00206897,L,"Upolu, Samoa",,-13.932926,-171.743264,1924,M,M,0.880643,10.5932,107,38.94,0.921529254899286,0.0483432,0.0482358,0.014655,0.995637,273117,162,48.49
Turdus_poliocephalus_schlegelii,"T. p. schlegelii  (w Timor, Lesser Sundas)",AMNH345779,Tpol00345779,D,w Timor,,-9.561034,124.230092,1932,M,M,0.88387,14.9584,116,37.94,0.960128177988498,0.0408369,0.0408256,0.036865,0.995637,240247,157,46.98
Turdus_poliocephalus_seebohmi,T. p. seebohmi  (n Borneo),AMNH575639,Tpol00575639,E,n Borneo,"centroid given for species range in far n Borneo, not for island as a whole",6.072431,116.561457,1892,M,M,0.882193,11.6071,115,38.44,0.92004658918906,0.0564358,0.0565162,0.0511384,0.99498,290313,163,47.99
Turdus_poliocephalus_sladeni,"T. p. sladeni  (Guadalcanal, Solomons)",AMNH22868,Tpol00022868,J,"Guadalcanal, Solomon Islands",,-9.62197,160.159779,2015,M,M,0.907375,10.6809,150,36.93,0.984526004228058,0.0141113,0.0112794,0.0246262,0.995637,989.7,146,48.49
Turdus_poliocephalus_sspunknown,"T. p. ssp  (Futuna, Vanuatu)",AMNH336962,Tpol00336962,L,"Futuna I., Vanuatu",,-19.531194,170.217854,1937,M,M,0.884566,19.3173,116,38.44,0.942906894281166,0.036897,0.0369805,0.0246053,0.994801,237058,156,47.49
Turdus_poliocephalus_sspunknown,"T. p. ssp  (Panay, Philippines)",CMCB36870,Tpol00036870,C,"Panay, Philippines",,11.155481,122.478821,1992,,F,0.913172,14882,142,37.94,0.500115534030251,0.0106237,0.00930242,0.0449103,0.997669,834923,140,48.49
Turdus_poliocephalus_sspunknown,"T. p. ssp  (Mt. Busa, Mindanao, Philippines)",CMCB37307,Tpol00037307,C,"Mt. Busa, Mindanao, Philippines",,6.109029,124.685906,1993,,M,0.91429,16.6599,142,37.94,0.983311777716128,0.0109284,0.00979707,0.0781485,0.993725,680666,140,47.99
Turdus_poliocephalus_sspunknown,"T. p. ssp  (Sibuyan, Philippines)",FMNH358378,Tpol00358378,B,"Sibuyan, Philippines",,12.414437,122.586872,1992,M,M,0.884042,11963,129,38.94,0.956340322429489,0.0199991,0.0197423,0.03951,0.995637,184822,144,48.49
Turdus_poliocephalus_sterlingi,"T. p. sterlingi  (e Timor, Lesser Sundas)",AMNH345801,Tpol00345801,D,e Timor,,-8.906647,125.493346,1932,M,M,0.883463,12.9414,116,38.44,0.933133272855328,0.0433195,0.0436047,0.0431869,0.995637,240966,158,46.48
Turdus_poliocephalus_stresemanni,"T. p. stresemanni  (ec Java, Indonesia)",RMNH81993,Tpol00081993,E,"ec Java, Indonesia",,-7.627337,111.194739,1956,M,M,0.882107,6.26365,138,37.94,1.00362067530163,0.0407443,0.0402548,0.0914281,0.99498,437844,180,47.49
Turdus_poliocephalus_tempesti,"T. p. tempesti  (Taveuni, Fiji)",AMNH252562,Tpol00252562,L,"Taveuni I., Fiji",,-16.855394,-179.963246,1924,M,M,0.879203,9.30414,103,38.94,0.927152610961714,0.0471112,0.0468846,0.0209998,0.993964,214153,144,47.99
Turdus_poliocephalus_thomassoni,"T. p. thomassoni AMNH 416872  (n Luzon, Philippines)",AMNH416872,Tpol00416872,B,"n Luzon, Philippines",,16.596903,120.68876,1930,M,M,0.882012,10.6501,109,37.94,0.943019266117027,0.0445507,0.0446065,0.0873535,0.995637,188496,139,47.99
